SMILES SOLUTE,SMILES Solvent 1,SMILES Solvent 2,Mole Fraction Solvent 1,Mole Fraction  Solvent 2,Density (g/mL),T (K),log(S),log(Xs),Reference (DOI),Comments,MW,pph(g/100g),DeltaGsolv
CCO,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.59
C1COCCO1,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.06
COc1ccccc1,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.33
CCC(C)=O,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.43
CCCCN,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.44
C[N+]([O-])=O,COc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.69
CCCCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.99
CCCCCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.62
CCCCCCCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.35
C1CCCCC1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.05
c1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.55
Cc1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.32
CO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.58
CCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.42
CCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.87
CC(C)O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.48
CCCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.45
CC(C)(C)O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.7
CCCCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.1
Oc1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.12
CCCCCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.13
Cc1ccccc1O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.44
Cc1cccc(O)c1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.66
Cc1ccc(O)cc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.35
CCCCCCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.85
C1COCCO1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.21
CC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.79
CCC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.46
CCCC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.14
CCCCC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.76
CCCCCC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.36
CC(O)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.02
CCC(O)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.75
CCCC(O)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.3
CCCCC(O)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.01
CCCCCC(O)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.94
COC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.04
CCC(=O)OC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.58
CCOC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.53
CCCOC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.21
CCCCC(=O)OC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.83
CCCCOC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.78
CCCCCC(=O)OC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.47
CCCCCOC(C)=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.53
CCN,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.73
CNC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.01
CCCN,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.68
CN(C)C,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.8
CCNCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.02
CCCNCCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.09
c1ccncc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.28
Nc1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.88
Cc1ccccn1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.86
Cc1ccncc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.17
CNc1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.64
Cc1cccc(C)n1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.39
[O-][N+](=O)c1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.6
Oc1cccc(C=O)c1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.29
Oc1ccc(C=O)cc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.73
Oc1ccc(Br)cc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.81
N,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-1.12
O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-1.71
CO[P](=O)(OC)OC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.02
CCO[P](=O)(OCC)OCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.58
CCCO[P](=O)(OCCC)OCCC,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.34
C1CCNCC1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.03
CN,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.66
NN,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.02
CCCCCCCCO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.06
COC(=O)c1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.27
CN(C)C(=O)Nc1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-12.18
C[S](C)(c1ccc(cc1)[N+]([O-])=O)=[P]([O-])([O-])[O-],c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.21
CC[S](CC)=[P]([O-])([O-])c1ccc(cc1)[N+]([O-])=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.58
C[N+]([O-])=O,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.5
Cc1cncc(C)c1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.64
NC(=O)c1ccccc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-9.93
Cc1ccccc1N,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.37
Cc1cccc(N)c1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.61
Cc1ccc(N)cc1,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.59
OO,c1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.77
CCCCCCCC,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.34
Cc1ccccc1,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.95
CCO,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.05
C1COCCO1,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.14
CCC(C)=O,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.58
N#Cc1ccccc1,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.28
C[N+]([O-])=O,N#Cc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.05
CCCCCCCC,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.77
Cc1ccccc1,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.46
CCO,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.84
C1COCCO1,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.39
C=O,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.48
CCC(C)=O,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.57
CC(O)=O,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.96
CCCCN,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.15
C[N+]([O-])=O,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.53
OCc1ccccc1,OCc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.61
CCCCCCCC,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.02
Cc1ccccc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.13
CO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.31
CCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.26
CCCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.74
CCCCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.08
CCCCCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.06
Oc1ccccc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.87
CCCCCCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.92
Cc1ccccc1O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.26
Cc1ccc(O)cc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.12
CCCCCCCO,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.68
C1COCCO1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.02
CCC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.37
COC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.87
CCOC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.57
CCCOC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.93
CCCCOC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.58
CCCCCOC(C)=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.35
CCN,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-2.73
CCCN,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.57
CCCCN,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.22
Nc1ccccc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.66
Brc1ccccc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-6.25
Oc1ccc(Br)cc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-8.49
C[N+]([O-])=O,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-4.25
Cc1ccc(N)cc1,Brc1ccccc1,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-7.59
CCCCCCCC,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.54
Cc1ccccc1,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.55
C1COCCO1,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.39
CCC(C)=O,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.13
CCC(O)=O,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-5.52
CCBr,CCBr,,1.0,0.0,,,,,10.13020/3eks-j059,From Minnesota Solvation Database (MNSOL) version 2012,,,-3.67
